上市公司简称,股票代码,年份,AI提及次数,AI战略态度,AI整体水平,AI岗位数,AI专利数,一致性判定
ST万邦,002082,2024.0,4,重点方向,中,3,1,言行一致
ST三木,000632,2024.0,1,初步探索,低,0,0,表态超前
东尼电子,603595,2024.0,0,未提及,无,3,73,行动先行
ST,603377,2024.0,2,核心战略,中,0,0,表态超前
ST,600568,2024.0,5,未提及,低,0,1,言行一致
ST中装,002822,2024.0,0,未提及,无,2,60,行动先行
中路股份,600818,2024.0,0,未提及,无,2,12,行动先行
ST云动,000903,2024.0,1,重点方向,中,0,130,言行一致
云南城投,600239,2024.0,0,,无,0,0,未涉及AI
ST云网,002306,2024.0,0,未提及,无,0,5,行动先行
ST亚光,300123,2024.0,0,,无,0,25,行动先行
ST京机,000821,2024.0,3,重点方向,中,6,70,言行一致
ST京蓝,000711,2024.0,0,,无,4,0,行动先行
人福医药,600079,2024.0,1,初步探索,低,2,221,言行一致
ST任子行,300311,2024.0,12,重点方向,中,237,149,言行一致
信安世纪,688201,2024.0,6,重点方向,中,40,236,言行一致
ST信源,300352,2024.0,35,核心战略,高,26,502,言行一致
*ST,600289,2024.0,12,核心战略,高,66,59,言行一致
ST八菱,002592,2024.0,5,核心战略,中,0,26,言行一致
ST兴化,002109,2024.0,0,,无,0,3,行动先行
ST凯利,300326,2024.0,2,初步探索,低,4,103,言行一致
ST创意,300366,2024.0,35,核心战略,高,91,128,言行一致
ST加加,002650,2024.0,0,未提及,无,0,23,行动先行
华扬联众,603825,2024.0,12,重点方向,高,33,19,言行一致
ST华谊,300027,2024.0,0,,无,7,0,行动先行
ST华铭,300462,2024.0,2,初步探索,低,0,61,言行一致
南新制药,688189,2024.0,1,未提及,无,0,18,言行一致
ST南都,300068,2024.0,3,未提及,低,15,411,言行一致
ST司特,002538,2024.0,1,重点方向,低,0,168,言行一致
ST合纵,300477,2024.0,0,未提及,无,0,63,行动先行
ST同德,002360,2024.0,0,未提及,无,0,17,行动先行
ST嘉应,002198,2024.0,1,初步探索,低,0,4,言行一致
嘉澳环保,603822,2024.0,0,,无,0,52,行动先行
ST围海,002586,2024.0,0,,无,0,46,行动先行
复旦复华,600624,2024.0,12,重点方向,中,0,13,言行一致
ST天圣,002872,2024.0,0,未提及,无,1,110,行动先行
ST天玑,300245,2024.0,15,重点方向,中,352,8,言行一致
太原重工,600169,2024.0,0,未提及,无,0,54,行动先行
ST如意,002193,2024.0,1,重点方向,低,0,31,言行一致
*ST,600165,2024.0,0,,无,0,0,未涉及AI
ST宏达,002211,2024.0,0,,无,0,0,未涉及AI
帕瓦股份,688184,2024.0,1,初步探索,低,0,166,言行一致
ST应急,300527,2024.0,0,,无,0,474,行动先行
ST得润,002055,2024.0,1,重点方向,低,3,0,言行一致
ST德豪,002005,2024.0,0,未提及,无,3,10,行动先行
思科瑞,688053,2024.0,2,重点方向,中,0,27,言行一致
ST恒信,300081,2024.0,58,核心战略,高,25,70,言行一致
ST惠程,002168,2024.0,0,初步探索,低,0,31,行动先行
文峰股份,601010,2024.0,0,未提及,无,0,0,未涉及AI
新华锦,600735,2024.0,0,未提及,无,0,0,未涉及AI
ST,600136,2024.0,3,重点方向,中,0,0,表态超前
ST易联众,300096,2024.0,40,核心战略,高,80,91,言行一致
ST易购,002024,2024.0,0,,无,786,350,行动先行
星光农机,603789,2024.0,2,重点方向,中,0,171,言行一致
ST晨鸣,000488,2024.0,0,,无,0,25,行动先行
ST,603869,2024.0,28,核心战略,高,10,2,言行一致
ST朗进,300594,2024.0,1,初步探索,低,0,105,言行一致
标准股份,600302,2024.0,0,未提及,无,0,76,行动先行
ST棕榈,002431,2024.0,1,初步探索,低,5,53,言行一致
ST汇洲,002122,2024.0,37,核心战略,高,1,7,言行一致
ST沈化,000698,2024.0,0,未提及,无,0,49,行动先行
洲际油气,600759,2024.0,0,未提及,无,0,0,未涉及AI
ST派瑞,300831,2024.0,0,,无,0,55,行动先行
ST浩丰,300419,2024.0,14,核心战略,高,3,5,言行一致
海泰发展,600082,2024.0,3,初步探索,低,0,0,表态超前
ST海王,000078,2024.0,2,初步探索,低,1,0,言行一致
庚星股份,600753,2024.0,0,,无,0,0,未涉及AI
ST海龙,000677,2024.0,0,,无,0,331,行动先行
瀚川智能,688022,2024.0,22,重点方向,中,3,143,言行一致
ST百利,603959,2024.0,7,核心战略,高,0,43,言行一致
ST百灵,002424,2024.0,1,初步探索,低,3,133,言行一致
ST福能,300173,2024.0,0,未提及,无,0,14,行动先行
ST章鼓,002598,2024.0,5,重点方向,中,1,343,言行一致
绝味食品,603517公司简称：绝味食品,2024.0,0,,,0,0,未涉及AI
美克家居,600337,2024.0,12,核心战略,高,6,10,言行一致
ST美晨,300237,2024.0,3,初步探索,低,5,41,言行一致
ST能特,002102,2024.0,0,,无,0,0,未涉及AI
臻镭科技,688270,2024.0,0,未提及,无,0,24,行动先行
ST萃华,002731,2024.0,1,初步探索,低,0,0,表态超前
葫芦娃,605199,2024.0,2,初步探索,低,2,135,言行一致
ST西王,000639,2024.0,1,初步探索,低,0,0,表态超前
诺泰生物,688076,2024.0,0,未提及,低,0,104,行动先行
ST豆神,300010,2024.0,50,核心战略,高,0,0,表态超前
ST路通,300555,2024.0,23,核心战略,高,1,66,言行一致
ST达华,002512,2024.0,12,核心战略,高,0,21,言行一致
ST远智,002689,2024.0,5,重点方向,中,1,29,言行一致
ST迪威迅,300167,2024.0,8,核心战略,中,4,18,言行一致
ST迪瑞,300396,2024.0,4,重点方向,中,12,328,言行一致
*ST,603559,2024.0,4,重点方向,中,0,0,表态超前
ST,600365,2024.0,1,初步探索,低,2,1,言行一致
逸飞激光,688646,2024.0,7,核心战略,高,1,349,言行一致
金花股份,600080,2024.0,0,,无,0,0,未涉及AI
四川金顶,600678,2024.0,5,重点方向,中,12,0,言行一致
ST金鸿,000669,2024.0,0,,无,0,0,未涉及AI
金鸿顺,603922,2024.0,0,未提及,低,0,0,未涉及AI
ST银江,300020,2024.0,18,核心战略,高,0,246,言行一致
长园集团,600525,2024.0,3,重点方向,中,4,78,言行一致
ST长方,300301,2024.0,1,初步探索,中,0,16,言行一致
ST雪发,002485,2024.0,1,未提及,无,0,4,言行一致
ST雪浪,300385,2024.0,0,,无,0,190,行动先行
ST麦趣,002719,2024.0,1,初步探索,低,0,5,言行一致
龙元建设,600491,2024.0,1,未提及,无,3,36,言行一致
ST龙大,002726,2024.0,0,,无,0,2,行动先行
龙韵股份,603729,2024.0,0,,无,13,1,行动先行
S,600182,2024.0,1,重点方向,中,0,0,表态超前
TCL中环,002129,2024.0,0,未提及,无,7,29,行动先行
TCL智家,002668,2024.0,6,重点方向,中,0,17,言行一致
TCL科技,000100,2024.0,0,,无,0,0,未涉及AI
江苏三六五网络,300295,2024.0,2,重点方向,中,10,5,言行一致
三房巷,600370,2024.0,0,,无,0,2,行动先行
东易日盛家居装饰集团,002713,2024.0,8,核心战略,高,25,45,言行一致
浙江东晶电子,002199,2024.0,6,未提及,无,0,4,言行一致
广西东方智造科技,002175,2024.0,6,重点方向,中,0,11,言行一致
东珠生态,603359,2024.0,0,,无,0,154,行动先行
中基健康产业,000972,2024.0,0,,无,0,3,行动先行
中化岩土集团,002542,2024.0,1,初步探索,低,2,0,言行一致
江苏中设集团,002883,2024.0,3,重点方向,中,12,30,言行一致
北京中迪投资,000609,2024.0,0,,无,0,0,未涉及AI
九鼎投资,600053,2024.0,2,重点方向,低,0,0,表态超前
南京云创大数据科技,920305,2024.0,60,核心战略,高,212,105,言行一致
亚士创能,603378,2024.0,2,初步探索,低,1,0,言行一致
亚振家居,603389,2024.0,2,重点方向,中,5,40,言行一致
南京化纤,600889,2024.0,0,未提及,无,0,0,未涉及AI
亿晶光电,600537,2024.0,1,初步探索,低,0,0,表态超前
江苏亿通高科技,300211,2024.0,35,核心战略,高,0,64,言行一致
苏州仕净科技,301030,2024.0,0,,无,0,43,行动先行
元道通信,301139,2024.0,5,核心战略,高,2,6,言行一致
八一钢铁,600581,2024.0,0,重点方向,中,0,0,未涉及AI
冀凯装备制造,002691,2024.0,1,初步探索,低,0,0,表态超前
新疆准东石油技术,002207,2024.0,0,未提及,无,0,5,行动先行
吉林利源精制,002501,2024.0,0,,无,0,21,行动先行
ST,603828,2024.0,1,初步探索,低,0,86,言行一致
雄安新动力科技,300152,2024.0,2,初步探索,低,0,29,言行一致
华夏幸福,600340,2024.0,1,初步探索,低,6,0,言行一致
华西能源工业,002630,2024.0,0,未提及,无,0,50,行动先行
